ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
1027,214,193,97,378,665,143,27,32,1
973,207,195,114,359,625,136,29,32,1
1054,192,184,94,375,665,137,34,19,1
1070,138,98,68,409,693,137,23,12,1
962,197,210,124,365,631,140,30,30,0
945,226,216,83,353,642,116,35,32,1
1083,158,125,76,382,685,125,23,18,1
