ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
1113,160,122,78,403,708,138,24,15,1
1071,237,208,102,361,702,135,38,25,1
992,184,192,84,345,654,138,19,34,0
1172,181,125,75,408,729,135,19,23,1
876,98,138,46,309,567,127,12,23,0
1055,256,235,118,374,680,140,34,36,1
1010,161,162,94,375,642,128,22,23,0
1041,180,158,107,386,671,126,24,25,1
978,251,263,112,352,635,124,37,37,0
1001,163,168,89,359,625,122,22,25,0
