ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
990,221,235,111,355,656,124,32,33,0
1039,234,221,94,374,691,147,33,32,1
1118,240,193,114,394,727,156,37,23,1
929,193,240,74,325,625,160,23,37,0
1066,251,235,120,388,682,125,34,33,1
990,235,251,97,342,652,143,33,34,0
974,159,139,69,360,620,139,29,16,1
912,139,159,71,329,591,157,16,29,0
965,163,167,76,369,666,147,24,26,0
973,164,164,60,357,644,167,24,22,1
805,110,157,49,308,535,135,16,25,0
1077,157,110,69,390,723,125,25,16,1
1083,150,124,64,386,709,123,23,15,1
941,124,150,50,337,636,175,15,23,0
985,218,184,102,363,633,143,35,29,1
828,184,218,74,320,554,150,29,35,0
1176,144,86,63,426,768,149,17,15,1
828,86,144,30,291,570,151,15,17,0
997,374,381,145,350,658,129,55,54,1
994,380,375,178,356,646,138,54,55,0
1058,372,322,174,381,701,141,61,38,1
940,321,372,137,334,634,134,37,60,0
966,171,176,67,-1,622,151,24,26,0
995,176,171,68,-1,670,151,26,24,1
1123,160,118,61,-1,695,129,24,15,1
884,118,160,45,-1,575,136,15,24,0
1097,153,123,70,-1,730,133,25,13,1
945,122,153,47,-1,621,164,13,25,0
1018,227,231,98,-1,686,152,32,32,0
1015,231,227,108,-1,682,124,32,32,1
1000,222,224,98,-1,660,163,29,36,0
943,223,221,93,-1,606,117,36,29,1
927,134,159,61,-1,604,173,14,28,0
1071,159,134,73,-1,724,163,28,14,1
1002,228,239,96,-1,671,117,30,36,0
1028,239,228,110,-1,679,134,36,30,1
1000,214,219,97,-1,660,144,29,32,0
1037,219,214,113,-1,689,129,32,29,1
902,226,261,112,-1,599,129,32,39,0
1080,260,227,163,-1,700,128,39,32,1
876,148,172,57,-1,574,157,24,23,0
1022,172,148,65,-1,664,163,23,24,1
956,139,162,81,-1,616,127,20,22,0
1106,162,139,90,-1,706,129,22,20,1
1075,199,191,83,-1,727,140,22,32,1
1018,190,199,82,-1,684,140,32,22,0
1073,214,172,66,-1,706,153,33,22,1
909,172,214,74,-1,608,134,22,33,0
1024,237,251,112,-1,679,135,30,37,0
1051,251,237,110,-1,709,125,37,30,1
990,233,220,95,-1,638,131,39,26,0
979,220,233,115,-1,656,158,26,39,1
1049,174,164,99,-1,687,97,23,25,1
980,164,174,73,-1,653,161,25,23,0
1031,151,121,61,-1,671,144,26,15,1
862,121,151,45,-1,560,150,16,27,0
869,106,148,52,-1,569,160,11,25,0
1152,148,106,71,-1,734,141,25,11,1
1032,155,126,62,-1,669,173,21,20,1
917,126,155,58,-1,591,158,20,21,0
805,98,152,38,-1,578,120,14,22,0
1175,152,98,55,-1,756,144,22,14,1
832,105,166,58,-1,556,159,15,24,0
1148,166,105,75,-1,740,125,24,15,1
1012,245,248,108,-1,665,143,36,32,1
1030,248,245,105,-1,669,143,32,36,0
1068,174,147,59,-1,689,156,20,25,1
969,147,164,70,-1,636,113,25,20,0
1149,153,101,73,-1,741,130,19,18,1
831,101,153,42,-1,560,147,18,19,0
1003,218,208,94,-1,669,128,32,29,1
993,208,218,80,-1,674,177,29,32,0
1079,166,143,71,-1,676,122,24,19,1
950,143,166,51,-1,610,151,19,24,0
960,138,164,50,-1,635,151,20,22,0
1099,164,138,78,-1,685,122,22,20,1
866,119,163,70,-1,575,165,19,21,0
1114,163,119,68,-1,703,120,21,19,1
1032,226,206,90,-1,678,145,31,30,1
989,206,226,105,-1,656,141,30,31,0
812,89,147,37,-1,571,137,15,18,0
1177,147,89,71,-1,772,150,18,15,1
1088,248,207,92,-1,705,155,39,26,1
898,206,248,105,-1,589,121,26,39,0
945,366,392,140,-1,610,117,53,56,0
1013,392,366,154,-1,665,174,56,53,1
1012,378,373,150,-1,668,148,44,62,1
999,373,378,147,-1,652,159,62,44,0
927,132,153,60,345,629,144,21,21,0
1042,153,132,62,354,725,137,21,21,1
1106,182,140,93,388,729,140,25,21,1
880,140,183,76,320,581,113,22,26,0
1062,208,196,89,379,692,148,24,32,1
1015,196,208,87,365,687,144,32,24,0
1025,229,209,92,369,687,144,25,38,0
958,209,229,90,352,617,158,38,25,1
960,213,211,96,347,620,112,32,31,1
959,211,213,95,359,644,126,31,32,0
1205,158,97,74,446,798,182,22,13,1
834,97,158,38,311,550,151,13,22,0
1004,161,151,74,367,669,129,22,25,1
909,151,161,56,362,610,140,25,22,0
1035,241,219,93,372,672,141,34,32,1
955,219,241,74,331,651,136,32,34,0
1075,155,120,77,380,683,124,25,15,1
890,120,155,68,334,595,153,15,25,0
918,124,157,65,343,599,131,18,23,0
1085,157,124,69,400,713,131,23,18,1
1005,139,107,61,390,651,128,23,17,1
796,105,139,52,332,520,115,16,22,0
858,123,169,52,327,599,205,14,27,0
1163,169,123,71,402,751,144,27,14,1
995,234,251,90,335,664,150,33,36,0
1025,251,234,109,371,692,134,36,33,1
829,103,154,42,327,547,153,19,18,0
1132,154,104,63,419,743,163,18,19,1
1084,238,207,93,385,695,116,40,22,1
953,207,239,82,350,628,163,22,40,0
1006,228,247,106,363,665,104,28,37,1
1075,247,228,107,374,702,137,37,28,0
878,128,172,61,317,563,151,24,19,0
1085,172,128,67,397,700,143,19,24,1
927,138,171,40,313,599,158,19,24,0
1100,171,138,68,381,744,135,24,19,1
1024,231,217,122,380,650,114,34,31,0
949,217,231,78,360,639,128,31,34,1
970,223,250,105,346,632,164,28,38,0
1070,250,223,134,390,688,124,38,28,1
869,123,163,49,320,597,116,21,22,0
1054,163,123,56,383,720,164,22,21,1
876,112,147,38,316,599,157,11,26,0
1106,147,112,62,382,718,149,26,11,1
1108,154,110,50,379,742,143,19,19,1
855,110,154,29,316,593,160,19,19,0
894,188,207,89,326,618,148,26,32,1
1044,207,188,76,373,647,131,32,26,0
903,125,158,52,341,586,118,15,26,0
1069,158,125,80,390,676,114,26,15,1
1077,260,216,112,391,721,162,37,30,1
944,216,262,80,334,626,154,30,37,0
990,144,160,52,340,647,151,16,27,0
1037,160,144,78,375,682,122,27,16,1
1202,145,71,57,448,802,148,26,6,1
696,71,145,30,260,481,145,6,26,0
1109,166,131,61,395,731,109,25,14,1
924,131,168,57,327,605,144,16,27,0
1039,145,151,58,364,661,128,24,16,0
1047,151,145,58,366,677,127,16,24,1
977,242,246,95,353,660,151,39,32,1
1016,245,242,103,354,667,119,31,38,0
1074,398,351,162,394,711,133,64,42,1
932,350,399,147,329,625,137,42,64,0
906,302,374,166,337,609,101,44,53,0
1084,374,302,170,392,705,129,53,44,1
1054,155,119,64,407,686,139,21,20,1
847,118,155,60,329,551,116,20,21,0
992,266,260,105,354,658,141,42,34,0
968,260,266,114,346,647,163,34,42,1
998,190,183,72,353,663,120,25,28,1
1004,183,190,86,343,659,132,28,25,0
1046,146,115,60,372,688,147,22,17,1
868,115,147,55,323,565,128,17,22,0
1007,155,144,62,363,671,138,25,20,1
927,144,155,58,344,595,144,20,25,0
938,218,237,114,333,637,123,31,37,0
967,236,219,87,358,640,139,37,31,1
1112,170,144,71,372,720,120,28,15,1
985,144,170,69,342,639,135,15,28,0
1011,159,147,80,381,655,124,19,26,1
954,147,159,65,362,609,124,26,19,0
974,239,253,123,343,645,149,40,31,0
986,253,239,102,377,641,171,31,40,1
896,133,152,49,342,583,120,18,25,0
967,151,133,51,369,636,135,25,18,1
967,213,223,83,340,643,151,30,33,0
1025,223,213,99,363,662,134,33,30,1
984,239,223,82,334,633,136,39,30,0
945,223,239,83,334,626,124,30,39,1
1051,145,107,79,393,682,100,22,17,1
800,107,145,41,308,518,145,17,22,0
873,110,163,62,307,565,136,15,24,0
1134,163,110,59,422,765,144,24,15,1
927,127,160,42,339,607,155,20,20,0
1117,160,127,76,386,714,117,20,20,1
935,139,158,49,318,627,146,20,23,0
1039,157,139,80,389,684,164,23,20,1
896,126,161,51,337,584,132,18,23,0
1080,161,126,81,397,691,93,23,18,1
1081,242,211,97,379,715,131,33,31,1
922,210,242,75,333,605,158,31,33,0
1073,166,146,54,372,699,163,26,17,1
971,146,166,58,332,645,130,17,26,0
1071,205,177,94,388,701,160,36,18,1
957,177,205,74,339,638,143,18,36,0
954,161,178,70,346,610,128,23,26,0
1046,178,161,114,391,666,116,26,23,1
868,132,154,50,329,571,135,18,25,0
1033,154,132,70,345,672,153,25,18,1
957,158,191,58,349,621,147,24,25,0
1077,186,158,53,371,713,155,24,23,1
986,147,129,48,374,643,183,21,20,1
845,128,152,45,343,597,148,21,22,0
1089,135,99,67,414,703,149,17,17,1
882,99,135,49,328,594,122,17,17,0
826,112,160,51,309,554,122,17,23,0
1107,160,112,44,377,710,123,23,17,1
1021,224,227,111,368,674,139,29,34,0
1018,227,224,120,364,654,144,34,29,1
1038,186,177,70,375,691,130,30,21,1
965,177,186,52,353,658,183,21,30,0
959,218,225,118,365,624,113,29,36,1
988,225,218,89,353,657,145,36,29,0
1018,217,201,102,373,658,159,33,26,1
968,200,218,89,359,622,150,26,33,0
1031,255,237,116,369,656,123,42,29,1
979,237,255,97,347,660,142,29,42,0
986,220,206,78,352,642,177,35,28,1
967,206,220,101,337,647,140,28,35,0
891,273,311,128,346,595,148,45,41,0
1020,310,273,140,386,679,180,41,45,1
1047,386,339,173,390,687,154,54,50,1
932,338,390,141,348,610,167,50,54,0
